text,rating,date,sentiment,cluster,cluster_label
"One of the worst apps I ever used. It's not intuitive, links are unclear and are unhelpful. Support is very poor. Additionally features that were provided for free in previous versions of the app are now charged for in tge current update. VERY DISAPPOINTING",1,2026-02-16 20:42:43,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
says starter battery failing when it has been replaced by bmw,2,2026-02-12 19:28:56,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"useless, will not add my vehicle from its VIN number. bugs out then closes. uninstalled then came here to warn people how useless it is, unless you want to buy a car, then it works lol",1,2026-02-12 13:41:54,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"was a battery hog before. this is now ok. synching with the car is however still very slow. BMW please pay attention, smart charging with Frank energy is unreliable since you have blocked access to the car as before. also can functionality be added to unlock the charging port based on location, this would make it easier to plug in my car at home. thanks",1,2026-02-12 12:46:48,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
Unable to use the app when Wifi is turned off. As soon as I log in to the app I get a popup about precise location. If I select 'No Thanks' the popup keeps returning several times per second thus not letting me use the app at all. Can't even see the vehicle status or log out until Wifi is turned back on. App should degrade gracefully and let me use features that don't require location if I don't want precise location enabled for whatever reason.,1,2026-02-10 22:36:50,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
updated security features have disabled the ability to use smart charging and lower electricity tariffs at home. now costing over £10 more each charge overnight.,1,2026-02-09 07:46:32,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"This app is really a joke. People buy a car and how they drive the car is their business and this app is monitoring how the car owner drives the car by showing the car owner Efficiency Statist report daily and monthly is like controlling the car owner how they need to drive theirown car. What is the point that the car have ""Sport, Comfort & Economy "" modes?. This APP SUCKS....",1,2026-02-08 22:10:15,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
Alexa app does not recodnise my BMWi3 and sees it like null so stupid,1,2026-02-06 09:52:51,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"Each time there is an update to the app, you loose the privacy settings from the car making it useless ! You can't use anything. This is REALLY ANNOYING ! If you can't do things properly stop touching working things. Perfect example of improper improvement !!!!",1,2026-02-03 20:30:30,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
What's the point of this when remote reauests to the vehicle keep failing all the time.. And of course the service blocks u when u try too many times..Absolutely pointless.,1,2026-02-02 15:14:22,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"This app has not recorded my journeys since 12 May - even when I send the destination to the car ahead of the trip... Last Saturday, the app suddenly stopped recording my trips again, 20 September. No reason: the app and car are up to date. Again, yesterday afternoon, it failed to record my return home and has failed to record an outing and return today, 29 January 2026. Why is it so unreliable?",2,2026-01-31 22:22:14,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"Great when it works, but fails to do so often. I always have to try multiple times to pre-set heating for the desired time. Also missing some QoL features, like changing the distance display to reflect the preferred drive mode. I mainly use Eco Pro so I would like to see my available distance at a glance for that. Currently only displays the information for Comfort mode. Would also like to see the status of heating and current internal temperature through the app. Lots of wasted potential.",2,2026-01-31 12:25:56,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"This app in general, and the time setting for charging and climatising feature in particular, is absolute shite. One in four times the car wouldn't charge if you choose to charge during a particular time slot e.g., midnight to morning. And one in three times it wouldn't heat, usually on the coldest days. So, instead, use charge immediately and press the fan icon in the app 15 minutes before you leave the house. I would give it zero star if I could.",1,2026-01-27 08:03:33,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"fix the widgets size!! if the homescreen has more Collums or rows then usual, you get one small widget on the entire page. the widgets are created relative to the screen %, not to Collums and rows. it's the only app ever I get this bug. also the location showed my car 250km away , got scared , and the car was in its place.",1,2026-01-27 05:52:41,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"app is useless. I want to see my charging status, but this is not available. (or is this locked behind paywall?)",1,2026-01-22 15:43:25,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"The main reason I use this app is to warm up or cool down my car in the morning, but it continually refuses to connect saying I have no internet connection despite having full fibre WiFi and good 5g coverage at home.",2,2026-01-21 12:22:45,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"""My Trips"" is a recurring issue on the app. No amount of troubleshooting will help you fix it. Also to top it off the customer support people have absolutely no idea on how to fix. They are always saying the same spiel with same messages, ""update app"", "" update software from headunit"", and then its back to square one with no fix. Finally after having the runaround with their customer service have booked in with the local BMW service centre. Hopefully the buck stops there.",1,2026-01-20 11:53:24,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
Trip planner unusable; it keeps routing me through closed Alpine passes.,1,2026-01-18 19:42:42,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"it's been good using it, but since yesterday 16/1/26 @ 13:11 its stopped updating and is showing my car as Unlocked. I keep swiping down the screen to force it do update again, but nothing happens. I did however enable Alexa, as it keeps unregistering itself and that's when the app stopped responding.",2,2026-01-17 09:53:42,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"Not really at the level it should be, compared to my Tesla App it seems prehistoric. Doesn't seem to connect instantly so there's a delay in unlocking the doors etc. After a few weeks of ownership starting showing a warning that the windows were open....they weren't! This warning hasn't gone away. I use Octopus Intelligent Go for home charging which often sets a schedule but can change as cheaper electricity becomes available, the app can't cope with this once it has received the first schedule",2,2026-01-16 15:38:27,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"This app is an absolute embarrassment for BMW, it fails to connect to the car on almost every occasion, remote functionality fails 90% of the time and is very limited compared to what other manufacturers have available, it seems to get worse with every update. I'd genuinely give it zero stars if I could.",1,2026-01-10 12:05:15,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"So the app has some really interesting features and does some of what I look for but the biggest issue is that when scheduling my charge window it fails every time. I want my car to charge between 23:30 - 05:00 everyday. The app says it's successfully updated the car and 5 minutes later, the car starts charging outside that window. when I go back into the app it's either reset back to immediate OR the scheduled window has changed to some obscure schedule. BMW says it's working as designed. 😕",2,2026-01-09 00:10:51,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"This app has never been intuitive. I am very tech savvy, but it's not obvious where to find settings like notifications, and when you do there are no descriptions in Notification Categories. Remote unlocking and locking often don't work on the first attempt, even when standing right next to the car, and half of the app seems dedicated to selling more products and services. Since the last software update the app asks me to rate it from 0-10 EVERY time I use it!",1,2026-01-03 03:51:17,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"I really enjoy the app but lately My Trips is dodgy. Works then doesn't, followed the walkthrough, reset re installed. Then works then doesn't. Not ideal.",2,2026-01-02 19:07:25,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"Remote heating is OK, but compared to say the Tesla app, BMW is low in features indeed, notably omitted is it doesn't tell you when there's a new map to be downloaded..",2,2026-01-02 18:09:35,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"At 1st I thought that there is a problem with my car. App was working normally, and then suddenly last month or two I can't do anything through the app. Could it be some update bug?! I see many bad reviews in the past month.. I went to the car dealer, everything is fine with a car!",2,2025-12-30 15:42:48,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
Since the last version the app stopped working - can't detect my internet connection.,1,2025-12-28 12:48:15,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"My car, unfortunately, locked with my keys and phone inside today, which was very frustrating 🤬....instead adding lots of other stuff please make sure the previous is working properly",2,2025-12-27 09:51:48,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"during the last update the app switched my account to another location/zone, offered to call to another country' support phobe and blocked the access. is this that service quality i paid for when i bought bmw?",1,2025-12-22 17:52:23,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"Increasingly frustrating to use due to erratic connections to the vehicle. It sporadically refuses to update status so I wake in the morning not knowing the state of charge until I get in the car and the most useful remote service to warm/ cool the car refuses to work consistently too. I go through the faff of reinstall/ reset etc, it works fine for a few weeks and the whole nonsense starts again.",2,2025-12-21 12:52:57,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"Have a 2023 M440i, and have only had 1 software update. Will there be any future updates for idrive 7???",2,2025-12-18 19:34:48,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
no use,1,2025-12-15 21:49:51,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
"This application is at best poor. Whilst remote commands to open and close the car seem to function as expected, all other aspects are very hit and miss. Rarely do the other functions work. Lack of notifications when charging. Other remote functions when sent result in an error. Perhaps issues with the software in the car, but for a car that is only a year old this is just not good enough.",1,2025-12-14 09:30:35,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"could be better, sometimes it doesn't update location of car, also believe it could have more stuff to do on it considering its bmw, you know notifying you of a fault on the car like a specific part not just the basic notification, we're in 2025 im sure the software on a car could genuinely point out which part is causing a fault without needing the diagnostic computer thing.",2,2025-12-12 00:03:54,negative,0,"Based on the text, I would choose the label:

**""DOESN'T WORK""**

This label captures the common theme of many users' experiences with the app, where they report issues such as the app not recognizing their car, failing to update vehicle status, or simply not functioning properly."
"This app was great until a few days ago. Location is not updated anymore, it throws error when I try to enable the heating from the app, it shows the car is opened even if it's not. Not great at all!",2,2025-12-11 13:47:08,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"App logged me out and the login is not working, tried multiple times over the last days. Just a spinning animation that goes on forever. Also, they discontinued the open API, which was such a useful feature.",1,2025-12-09 10:18:56,negative,4,"Here are some of the most common issue labels that can be extracted from your text:

1. **Crashes**: The app crashes frequently, especially when opening or trying to use certain features.
2. **Login Issues**: Users experience difficulties logging in to their accounts, with the app asking for full login information multiple times.
3. **Inconsistent Navigation**: Navigating through the app can be frustrating due to inconsistent navigation and wrong date formatting.
4. **Map Issues**: The map feature is unreliable, sometimes disappearing or not loading correctly.
5. **Redirections**: Users are redirected to the website instead of being able to use the app features seamlessly.
6. **Forgetful Logins**: The app forgets login credentials periodically, requiring users to log in again.
7. **Unreliable Service Scheduling**: Users cannot schedule services from the app as expected, leading to frustration.
8. **Slow Performance**: The app is slow to respond and load, making it difficult to use.

Please note that these labels are based on my understanding of your text and may not accurately represent all the issues reported by users."
"it was good, but now it keeps failing to update and remote features have stopped working",2,2025-12-09 09:34:38,negative,2,"Based on your request, I've analyzed the issues mentioned by users and extracted one issue label that accurately describes the most common problem:

**Login Issues**

This label encompasses various login-related problems, including:

* Constantly being logged out
* Unable to log in due to technical errors or invalid credentials
* Issues with password recovery or reset
* Problems connecting to the car's system

These issues were mentioned by many users throughout their comments."
